LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner
WU7LP8MCM0,26,104251,61308,588,59,3,19.55,12,0.32,High School,Part-time,Married,Yes,No,Business,Yes
C2QGT24TN9,49,39905,7164,630,61,4,15.51,24,0.4,Master's,Unemployed,Divorced,Yes,No,Business,No
R6QQAO6303,28,51148,61306,680,5,1,15.32,24,0.45,High School,Part-time,Single,Yes,Yes,Education,No
771XPKODC6,25,97860,22654,527,35,4,21.49,36,0.19,PhD,Self-employed,Single,Yes,Yes,Other,Yes
KJMFV5CCID,50,123386,56359,358,22,4,15.29,24,0.71,PhD,Part-time,Divorced,Yes,No,Business,No
LA88CX9KAE,40,139927,189373,349,92,2,14.04,48,0.62,Bachelor's,Full-time,Married,No,No,Other,No
7R0SH2TB7G,42,52292,156888,825,96,2,20.58,12,0.61,Bachelor's,Part-time,Divorced,No,No,Auto,No
LZVZ715XBO,25,23337,161027,683,41,4,19.6,24,0.89,High School,Part-time,Married,No,No,Other,No
KVFEFKZT02,62,140320,65022,551,99,2,8.44,48,0.59,High School,Self-employed,Married,Yes,Yes,Education,No
175GPJS3CQ,39,84633,208943,641,27,1,3.78,12,0.67,PhD,Self-employed,Divorced,Yes,No,Home,No
R2R5MEREZ0,21,125342,83606,820,61,4,13.02,24,0.25,PhD,Full-time,Divorced,Yes,Yes,Auto,Yes
NPH5NC7DOA,57,68943,61631,406,64,4,20.4,24,0.51,High School,Self-employed,Married,Yes,Yes,Other,Yes
92MTIHRUDO,20,135528,183534,560,53,4,8.27,48,0.74,Bachelor's,Part-time,Married,No,No,Home,Yes
Y2WCH9WFOZ,46,45739,47223,485,116,3,2.35,12,0.44,High School,Self-employed,Married,No,No,Home,Yes
1NZC19D8HW,58,54484,78854,602,44,2,4,60,0.81,High School,Unemployed,Single,No,No,Education,Yes
1E0GWPAXZY,46,58327,168637,640,61,2,14.4,12,0.8,Bachelor's,Part-time,Divorced,No,Yes,Other,Yes
EGLCJDKF3P,51,17071,214078,620,57,3,8.86,48,0.55,Master's,Self-employed,Single,Yes,No,Business,Yes
TIOB6V4J4A,51,117640,47375,549,0,4,18.47,36,0.17,High School,Full-time,Divorced,No,Yes,Education,No
IMDTE42VO4,45,80902,20282,320,54,4,21.12,48,0.2,Master's,Part-time,Married,Yes,Yes,Home,Yes
N2V0ZGCDOK,30,50582,123997,740,5,1,13.42,12,0.89,Bachelor's,Unemployed,Divorced,Yes,Yes,Other,No
N36GIKN5RH,32,110792,81748,600,86,1,3.4,24,0.66,PhD,Full-time,Married,Yes,No,Business,Yes
IVWUKBSYG7,40,94273,11038,799,44,4,19.21,48,0.64,High School,Unemployed,Single,No,Yes,Business,No
KVJX8F9LFX,61,61506,5929,686,32,3,23.01,24,0.48,Bachelor's,Self-employed,Divorced,No,No,Auto,Yes
UJ9Z9QFFGF,43,140308,238071,482,94,1,23.04,24,0.32,Master's,Part-time,Divorced,Yes,Yes,Auto,No
0XJ8TA3937,21,38591,211091,533,107,2,20.77,36,0.56,Master's,Part-time,Single,No,No,Business,No
E5HZM5EVHI,43,127941,190151,481,86,1,4.36,48,0.81,Master's,Full-time,Single,No,Yes,Auto,No
IYDTO30FCI,57,37256,174675,354,13,3,16.77,12,0.19,Master's,Part-time,Single,No,No,Education,Yes
EZ5ZGPFNOO,26,32997,225250,788,62,2,13.53,24,0.23,High School,Self-employed,Married,No,No,Home,No
5JEGZJCANS,22,65414,25053,736,43,3,3.95,36,0.4,PhD,Full-time,Divorced,Yes,Yes,Education,Yes
ARRLRVE88Q,49,143464,31765,537,34,1,23.1,48,0.38,Bachelor's,Part-time,Married,No,No,Auto,No
EG4UTGOQSP,37,31962,217953,442,11,3,7.59,48,0.11,Bachelor's,Part-time,Divorced,Yes,No,Home,Yes
7ZJL5VUKSK,67,75684,52839,536,113,3,19.48,48,0.36,Bachelor's,Unemployed,Single,Yes,No,Education,Yes
779SVKJH6X,28,77626,38252,628,101,1,2.85,60,0.22,PhD,Self-employed,Married,No,Yes,Auto,No
7YNVDWA34S,32,114748,236209,425,50,4,17.07,24,0.18,PhD,Part-time,Divorced,Yes,Yes,Education,No
QNB1VXEHKQ,49,57435,85794,817,19,4,19.73,60,0.79,PhD,Self-employed,Single,Yes,No,Other,Yes
L9SJ2KSLRK,45,73769,196861,433,40,4,12.16,60,0.18,High School,Part-time,Married,No,No,Business,Yes
39CZEHS05M,39,132427,196699,812,112,4,14.94,24,0.43,High School,Unemployed,Married,Yes,Yes,Auto,No
24MCY3YX2Y,58,38900,32881,726,7,3,3.01,36,0.22,Master's,Unemployed,Single,Yes,No,Education,No
XQOT92WVI1,34,141102,60965,563,22,3,12.77,36,0.23,Master's,Part-time,Married,Yes,No,Auto,Yes
AL17MZ203N,43,137500,46340,658,52,1,8.66,60,0.12,High School,Unemployed,Single,Yes,Yes,Education,Yes
JXU1W1RTF3,61,131650,118090,493,74,1,22.55,48,0.53,Bachelor's,Part-time,Single,No,No,Education,No
2N7KS7PB9X,24,133493,141125,320,33,3,16.17,60,0.1,Master's,Full-time,Divorced,No,No,Home,Yes
YA8CUGH7K7,59,143593,215147,533,89,1,7.42,48,0.37,PhD,Full-time,Divorced,No,No,Education,Yes
OA8K978QP2,43,102866,247328,350,49,4,23.19,48,0.32,Bachelor's,Unemployed,Divorced,Yes,No,Education,Yes
6H3DIX2T4P,42,37851,132908,831,10,2,18.66,36,0.4,Master's,Part-time,Divorced,No,Yes,Education,No
X6SU3O5DI7,27,61095,59797,615,15,1,18.26,36,0.11,PhD,Self-employed,Divorced,No,No,Other,Yes
WX5RAGROJ0,62,54998,119494,630,25,2,11.23,36,0.3,PhD,Unemployed,Single,No,No,Home,No
KOB811FD3L,36,18937,240743,388,8,4,4.73,12,0.59,Bachelor's,Full-time,Married,No,Yes,Education,Yes
PQIG2WDF28,28,34953,204910,548,80,3,15.36,48,0.71,High School,Unemployed,Divorced,Yes,No,Other,No
X8M9CGY36K,30,99219,227368,470,87,3,12.6,60,0.66,PhD,Full-time,Divorced,Yes,Yes,Business,Yes
HUV4M698R0,25,85577,57409,830,96,1,5.46,48,0.73,Bachelor's,Part-time,Married,Yes,Yes,Home,No
HL8U96RRUP,57,70350,237561,548,102,1,16.74,36,0.85,Bachelor's,Full-time,Divorced,Yes,No,Education,Yes
BP25TLS2JD,21,134005,102500,477,73,2,7.44,48,0.44,PhD,Part-time,Single,No,No,Business,No
HR4NMDOJ1N,64,25332,129851,826,20,2,4.49,12,0.22,PhD,Unemployed,Divorced,Yes,No,Auto,No
6YRIUPUJFF,48,102012,209462,423,118,4,24.96,24,0.26,Bachelor's,Self-employed,Married,Yes,Yes,Auto,No
LSFUG1VIXF,45,136553,164379,843,51,3,18.64,12,0.58,Master's,Unemployed,Divorced,No,No,Business,Yes
2GOA1HTGYT,28,146255,85459,687,73,1,16.46,24,0.14,High School,Self-employed,Married,No,No,Education,Yes
ZDARCU19J9,60,65507,21724,763,82,1,20.31,24,0.31,High School,Unemployed,Married,No,Yes,Auto,No
CWI3Y6NWRD,18,24876,34349,459,112,2,8.75,12,0.17,High School,Full-time,Divorced,No,No,Other,No
TFQKRZODHJ,66,128636,137486,661,111,1,6.18,60,0.58,High School,Part-time,Married,No,No,Other,No
R7IWYTMI89,64,58118,14280,559,8,2,5.45,24,0.78,PhD,Unemployed,Divorced,No,Yes,Home,Yes
8005DC3LCB,69,27919,130284,315,118,2,23.85,12,0.2,Bachelor's,Part-time,Married,No,Yes,Home,No
QESWVPXZEC,55,60924,7997,640,84,4,22.16,60,0.35,Master's,Unemployed,Married,Yes,No,Education,Yes
V8IT2VEGUL,41,60016,234056,774,74,4,19.23,48,0.25,Bachelor's,Part-time,Single,Yes,Yes,Auto,No
EL0Z0JSBV9,64,88802,20759,659,80,3,10.68,12,0.54,PhD,Full-time,Single,No,No,Auto,Yes
IWQP5387W9,48,88105,222572,817,49,2,14.75,60,0.63,PhD,Full-time,Single,Yes,No,Home,No
8CCQG47DWC,58,143877,95031,391,101,4,20.81,60,0.36,Master's,Full-time,Single,Yes,Yes,Home,Yes
3AMXZS3Y76,63,74603,71745,811,12,3,16.84,60,0.57,Master's,Full-time,Divorced,Yes,No,Education,No
UTTPU4HNVB,67,73827,131721,579,74,4,20.74,24,0.87,PhD,Unemployed,Married,No,Yes,Education,Yes
WNOIWHUR4K,43,108568,175848,502,62,1,6.87,12,0.65,PhD,Self-employed,Single,Yes,No,Home,Yes
3HBY0KOB0G,66,71208,10573,457,54,4,3.93,24,0.86,Master's,Part-time,Single,No,Yes,Education,Yes
CEUGAQJJ5K,67,91982,211392,375,48,2,9.88,12,0.68,PhD,Part-time,Single,No,Yes,Education,Yes
5A7Q9EALFF,22,136684,137552,401,92,4,21.71,60,0.64,Master's,Self-employed,Divorced,Yes,Yes,Education,Yes
10XGTVHIFT,37,59509,158322,687,45,4,5.43,60,0.39,Bachelor's,Full-time,Married,No,No,Auto,No
NSFX01M8QH,69,146648,31347,496,65,1,19.23,36,0.37,Master's,Self-employed,Divorced,No,No,Home,Yes
V1YPLMCKFZ,58,138630,197508,527,21,1,13.84,12,0.77,PhD,Unemployed,Single,Yes,Yes,Auto,Yes
ZTBGH4FRMZ,28,47578,124598,581,80,3,20.49,36,0.76,Master's,Self-employed,Single,No,Yes,Home,No
PAO1WURBII,50,134292,22178,619,89,1,16.62,24,0.73,Master's,Self-employed,Divorced,Yes,Yes,Auto,No
Z74TGF7OXP,67,50654,59604,842,60,3,2.61,36,0.46,PhD,Unemployed,Married,Yes,Yes,Other,No
III40XA129,55,44115,225275,794,89,4,23.95,60,0.31,Master's,Self-employed,Divorced,No,No,Business,No
B78T6JNIK7,44,116050,151971,313,72,2,19.73,36,0.78,High School,Part-time,Single,No,No,Auto,Yes
AYCJJNORWQ,51,15325,133183,440,73,2,10.64,12,0.73,Master's,Full-time,Single,No,No,Other,No
IFYDW4GRJW,32,25057,192639,481,85,1,4.07,12,0.54,Master's,Part-time,Single,Yes,Yes,Business,Yes
CS0WCHLI74,49,51240,184200,632,112,4,20.98,60,0.54,Master's,Unemployed,Single,Yes,No,Education,Yes
MRPTUQD2GG,38,84233,114912,748,33,4,23.08,36,0.89,PhD,Unemployed,Married,Yes,Yes,Other,Yes
WA91QITPVC,63,105660,72179,789,14,3,18.27,24,0.2,Bachelor's,Unemployed,Single,Yes,Yes,Home,Yes
IB5LWS4LUC,22,91535,191274,508,18,4,21.06,60,0.71,Master's,Full-time,Divorced,No,No,Other,Yes
HV0E4YFWZK,23,83300,191972,614,88,2,14.05,48,0.13,PhD,Full-time,Divorced,No,Yes,Business,No
NA4QAZ4IDX,55,113037,80070,841,15,4,12.7,12,0.62,Bachelor's,Full-time,Single,No,Yes,Auto,Yes
W91BQT1ZWN,39,60203,78759,363,103,1,3.51,48,0.62,PhD,Full-time,Divorced,Yes,No,Education,Yes
N2Q832FT59,35,117921,208503,684,75,1,24.29,12,0.15,Bachelor's,Self-employed,Divorced,Yes,No,Home,Yes
KWJWS5GN4C,31,126413,42923,408,18,3,5.02,48,0.67,Bachelor's,Unemployed,Single,Yes,Yes,Other,Yes
E15JME9NIX,27,25641,93478,737,21,1,6.14,48,0.22,Master's,Self-employed,Married,No,Yes,Education,No
MTXC90KADI,63,67299,187287,552,114,2,22.52,36,0.36,High School,Part-time,Single,Yes,Yes,Business,No
AHNOCIBJO3,30,65111,216374,379,73,2,18.59,24,0.29,High School,Part-time,Married,No,Yes,Auto,No
FF73745LQC,48,56438,35263,626,5,2,9.39,12,0.75,PhD,Self-employed,Married,No,Yes,Education,Yes
LC8VWY9405,47,58640,76640,493,38,4,21.91,12,0.13,PhD,Self-employed,Single,Yes,Yes,Home,No
6LNI0UE025,20,85287,246254,845,65,3,14.48,60,0.78,PhD,Unemployed,Single,Yes,No,Auto,Yes
P2QM5K8VED,47,109474,14381,592,99,1,13.12,60,0.22,Master's,Full-time,Divorced,No,Yes,Other,No
ZR2GCAYR24,23,28362,118270,323,66,4,17.91,60,0.43,Bachelor's,Part-time,Married,Yes,Yes,Auto,No
INN74PYP8N,46,55907,164787,322,76,1,11.77,24,0.19,Bachelor's,Self-employed,Married,No,Yes,Other,No
83QKIMM76K,25,81997,19048,376,91,3,23.55,24,0.2,High School,Self-employed,Divorced,No,No,Home,Yes
ZJ8OFEDLVM,61,108656,46324,612,36,2,21.86,48,0.75,Bachelor's,Self-employed,Single,No,No,Home,No
AR0XTZZHZM,62,142269,176687,453,54,4,11.28,60,0.26,Master's,Unemployed,Married,Yes,Yes,Auto,No
8QRM12ATG3,60,38332,35857,458,84,3,10.65,24,0.46,PhD,Self-employed,Single,Yes,Yes,Home,No
X5FYPGSWAE,61,69502,13629,620,110,4,19.19,60,0.82,Master's,Unemployed,Divorced,Yes,No,Other,Yes
A0AW5FF1UX,50,21142,98660,610,33,4,3.54,24,0.69,PhD,Part-time,Single,No,No,Auto,Yes
7NBXVIYHHI,34,65161,137084,415,93,1,18.85,24,0.76,Bachelor's,Full-time,Single,No,Yes,Other,No
VSZIJLBBE4,65,58357,112525,558,65,3,6.96,48,0.8,Master's,Self-employed,Married,No,No,Education,Yes
HJZC5NYZHY,28,91206,143191,305,17,2,2.86,60,0.17,Bachelor's,Unemployed,Single,No,Yes,Business,Yes
K9U9KQVRGE,30,47971,34428,697,90,1,3.67,12,0.29,PhD,Self-employed,Divorced,No,No,Education,No
XYQG848TQS,67,103956,206180,461,25,2,16.88,60,0.64,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,No
PSWM54LWNZ,28,39093,65782,835,7,3,11.84,48,0.35,PhD,Part-time,Married,No,Yes,Other,Yes
KGR8DVSDU9,48,16474,42041,794,87,2,6.88,12,0.86,Master's,Self-employed,Divorced,Yes,No,Other,No
RU2KX8OUDN,45,134560,144958,425,115,4,3.98,36,0.65,Bachelor's,Full-time,Married,No,No,Home,Yes
DMDFZNUZCN,61,23891,99229,635,46,2,10.07,12,0.53,High School,Part-time,Divorced,Yes,Yes,Education,No
ZHYJCG6J3O,23,73910,64383,434,26,3,24.47,48,0.55,High School,Full-time,Divorced,No,No,Auto,Yes
GEDFXM0FGB,58,20252,236151,817,78,4,9.23,36,0.56,Bachelor's,Unemployed,Divorced,No,Yes,Business,Yes
W2POBJG231,33,148311,219437,619,18,3,20.5,48,0.52,Bachelor's,Full-time,Single,Yes,No,Home,No
KTLDAV7PTY,21,137506,60614,750,99,2,20.73,36,0.24,Bachelor's,Unemployed,Married,No,Yes,Business,Yes
J2YOMWKY0A,52,79083,100984,764,66,1,18.97,24,0.41,Master's,Unemployed,Divorced,Yes,No,Home,No
AV3YCKFN5R,65,17627,166727,572,115,2,23.67,12,0.59,Master's,Unemployed,Married,No,Yes,Auto,Yes
CH8F92G261,43,76353,91598,693,11,2,7.96,12,0.31,Bachelor's,Part-time,Married,No,No,Business,Yes
3QDOJAOF0S,29,23258,65787,504,26,1,11.59,12,0.87,Bachelor's,Full-time,Married,Yes,Yes,Business,No
6JBCAXZDYU,28,20150,110562,590,25,2,15.63,60,0.63,Bachelor's,Unemployed,Single,No,No,Business,No
0DVU0QI883,54,87706,141267,576,81,4,2.38,48,0.11,Bachelor's,Part-time,Single,No,No,Business,No
M68UILLJA2,42,149865,234105,370,44,3,7.83,36,0.82,Master's,Self-employed,Married,No,No,Home,Yes
94140P1P66,35,125950,141926,564,59,3,2.91,48,0.26,High School,Self-employed,Divorced,Yes,Yes,Education,Yes
O2S5A8B9V6,36,109668,200446,406,118,2,16.47,12,0.21,Master's,Part-time,Single,Yes,No,Home,No
1BXBN05T6W,40,35111,187076,830,67,1,15.65,36,0.43,PhD,Self-employed,Married,Yes,No,Home,Yes
XL17AVRZWI,55,74049,143834,345,77,1,23.32,24,0.15,PhD,Part-time,Married,No,No,Auto,No
HNT12C30PM,35,129982,152450,536,79,3,4.31,60,0.31,PhD,Unemployed,Married,Yes,Yes,Home,No
4F02RMA065,43,78294,240932,426,52,1,2.74,60,0.86,Master's,Part-time,Divorced,Yes,Yes,Education,No
8L0E20RH1E,23,42077,17986,332,102,2,4.49,24,0.42,PhD,Full-time,Divorced,No,Yes,Home,No
1I1Q33BM68,21,47939,136500,503,89,2,13.69,36,0.9,High School,Unemployed,Married,No,No,Home,No
QK9NF5IGGW,61,129226,204832,621,83,4,8.24,36,0.57,Bachelor's,Self-employed,Single,No,No,Home,Yes
L7I67DQIYO,68,117121,68421,397,11,4,18.67,36,0.74,PhD,Full-time,Divorced,Yes,Yes,Education,Yes
V86TN7JID8,46,26118,97107,367,63,1,20.77,60,0.59,High School,Part-time,Married,Yes,No,Education,Yes
ON3D45I64I,51,105807,98740,837,1,1,10.18,48,0.9,Master's,Self-employed,Divorced,Yes,No,Other,Yes
OZ5QLL168A,34,109205,90554,437,36,4,16.51,36,0.48,PhD,Part-time,Single,Yes,No,Business,No
TZT59RHQ1F,60,22742,123903,439,6,4,9.29,12,0.55,High School,Full-time,Single,No,Yes,Other,Yes
P9FAHS75NI,60,143374,173815,427,60,1,2.38,48,0.31,Bachelor's,Self-employed,Married,Yes,No,Other,No
ATF5D7LDU1,33,144235,76040,801,94,1,12.46,12,0.1,Bachelor's,Unemployed,Single,Yes,Yes,Auto,No
Y3THBDXFRY,19,27317,71360,363,110,4,9.7,60,0.69,Master's,Full-time,Single,Yes,No,Other,Yes
9P6IZ1FS6Y,51,113586,67586,429,82,2,23.36,48,0.85,PhD,Full-time,Divorced,Yes,Yes,Other,Yes
E4VYISH5B9,25,60383,53859,367,72,1,20.87,36,0.6,High School,Part-time,Married,No,No,Business,Yes
IHKJ188T6R,30,36147,91384,685,40,4,21.47,36,0.76,Bachelor's,Part-time,Single,Yes,Yes,Auto,Yes
JK2RRBBCYD,59,93165,85210,770,20,3,2.42,12,0.23,Bachelor's,Unemployed,Divorced,No,No,Education,Yes
LOHVJ0TUE3,25,50398,131248,672,65,3,20.15,48,0.83,Master's,Unemployed,Married,Yes,No,Education,No
VBITR3DMQZ,47,53773,184128,694,3,2,16.66,12,0.76,PhD,Self-employed,Married,No,Yes,Home,No
BXUFBY8WN1,49,85656,106813,594,8,4,6.6,36,0.39,Master's,Part-time,Married,No,No,Other,Yes
HF30SBNOFG,53,23238,83571,587,32,2,7.89,36,0.11,Bachelor's,Full-time,Divorced,No,No,Other,No
0EE0XOFGAR,64,38641,60786,568,91,2,3.01,60,0.24,Master's,Self-employed,Married,No,No,Home,Yes
QCCPJS2MH2,47,29266,61648,635,46,4,15.78,60,0.61,Bachelor's,Part-time,Married,No,Yes,Other,Yes
OXIOYMWSHJ,18,51341,249796,619,90,2,11,48,0.46,Bachelor's,Self-employed,Divorced,Yes,Yes,Education,Yes
7FXGPGJJBB,60,48493,201255,799,57,4,7.97,36,0.76,High School,Part-time,Single,Yes,Yes,Home,No
3NHYLW8WX5,56,19432,22722,367,6,1,4.4,48,0.42,Master's,Unemployed,Divorced,No,Yes,Business,No
IKXYTCK2SN,34,115662,37680,311,76,4,21.97,60,0.77,PhD,Part-time,Divorced,Yes,No,Home,No
B3CRKWZZMW,37,53380,127825,632,26,3,21.14,36,0.19,Bachelor's,Full-time,Married,Yes,No,Home,Yes
MXE8KMJ5BM,41,133851,50172,520,29,4,18.09,36,0.89,High School,Full-time,Single,Yes,Yes,Education,No
KX4BILALS7,67,20397,111276,484,31,3,13.39,60,0.42,Master's,Part-time,Divorced,Yes,No,Other,No
2RX9DW6RAY,39,115767,179774,320,34,3,9.45,12,0.37,PhD,Self-employed,Married,Yes,Yes,Home,Yes
HXS3CQB6S4,46,139730,167744,756,30,4,14.35,36,0.35,Master's,Part-time,Married,Yes,No,Business,Yes
MJUD2X9TMC,39,25110,227631,606,68,4,12.42,24,0.52,PhD,Full-time,Single,No,Yes,Home,No
R0ZUTXAYS8,61,84888,84852,449,78,2,23.27,36,0.39,PhD,Full-time,Single,Yes,No,Education,No
3F3RGN5GZ5,26,78898,76724,832,82,2,7.76,36,0.42,Bachelor's,Unemployed,Married,No,No,Business,Yes
LNMZ3031JQ,54,99463,230826,567,14,2,5.74,12,0.52,Master's,Unemployed,Divorced,Yes,No,Business,No
D4RNYQEKG0,27,21160,114319,663,36,2,19.62,12,0.22,Bachelor's,Part-time,Married,No,No,Auto,Yes
NTZV107T7L,53,74521,237507,771,7,3,4.01,48,0.83,Bachelor's,Part-time,Divorced,No,Yes,Home,No
WFN7197W2G,54,23742,244160,410,95,1,21.92,48,0.25,Bachelor's,Self-employed,Single,Yes,No,Home,Yes
CG0TMZVXSX,45,114367,193237,753,63,4,22.07,48,0.87,PhD,Unemployed,Married,Yes,Yes,Education,Yes
HT0814NMEF,45,63824,122790,428,55,3,4.82,24,0.15,High School,Unemployed,Single,No,No,Home,Yes
X7ET9LAPLE,59,115087,127892,836,61,4,18.19,12,0.45,Bachelor's,Part-time,Single,No,No,Auto,No
HI0S4EIXLH,60,53009,54476,375,98,4,14.91,36,0.47,PhD,Unemployed,Single,No,Yes,Auto,No
3D7WRPQM1S,38,74146,212306,320,46,4,17.02,24,0.44,Master's,Full-time,Divorced,No,Yes,Business,No
XHVFXU22LQ,41,147925,47356,488,108,3,6.04,36,0.83,Master's,Part-time,Married,No,Yes,Auto,No
8UK3ZSFRI5,59,142521,163779,799,97,2,2.37,24,0.19,High School,Part-time,Married,No,Yes,Home,Yes
OI6U0WDR9K,57,63101,22330,466,90,3,4.74,24,0.48,High School,Self-employed,Divorced,Yes,Yes,Home,No
1KXJ882E41,19,113081,157873,452,89,2,5.32,24,0.42,Bachelor's,Unemployed,Married,Yes,No,Education,Yes
RIS5XZ4PPK,25,146314,200273,798,1,1,13.08,36,0.66,Master's,Self-employed,Married,Yes,Yes,Other,No
EEVY8A8R46,65,74384,35559,380,65,3,22.06,60,0.1,High School,Self-employed,Married,Yes,No,Home,Yes
5I8M79X31N,44,138610,96793,617,62,1,7.93,36,0.73,High School,Unemployed,Married,No,Yes,Education,No
GZLKP8FOMD,39,91409,163851,697,68,1,2.68,12,0.62,Bachelor's,Self-employed,Divorced,No,No,Business,Yes
9F25ONBGGP,54,18861,5542,529,37,3,13.49,48,0.34,High School,Full-time,Married,No,Yes,Other,Yes
XJXBR5589J,44,142806,86295,769,1,3,24.4,48,0.49,High School,Full-time,Divorced,No,Yes,Auto,Yes
9AOS1WTH50,46,24211,164849,397,36,1,13.6,12,0.29,Master's,Full-time,Married,Yes,Yes,Auto,No
1NQRW56J9X,20,17046,157914,371,69,1,16.25,60,0.63,High School,Full-time,Divorced,No,Yes,Business,Yes
32DW9CQ4P7,61,118282,100317,612,20,3,7.77,60,0.16,PhD,Part-time,Divorced,Yes,No,Education,Yes
HDRK3YSAB2,30,38004,28497,357,1,3,6.71,24,0.12,PhD,Unemployed,Married,Yes,No,Other,No
U8G4MERSJR,62,55968,141184,560,26,1,5.64,60,0.37,PhD,Self-employed,Divorced,Yes,Yes,Business,No
9GNWC1V6IU,27,120242,233399,606,61,3,19.69,36,0.29,High School,Full-time,Single,Yes,Yes,Auto,No
OMREILNTN4,53,141469,143542,823,77,4,8.15,12,0.61,Bachelor's,Part-time,Single,No,No,Education,No
5QTS86OHO3,26,51134,218501,539,1,2,17.07,36,0.47,Master's,Self-employed,Single,Yes,No,Home,Yes
91TQ56OC9C,44,43590,71226,393,75,4,9.82,48,0.87,Bachelor's,Full-time,Divorced,Yes,Yes,Home,No
3PTTJRU7W0,51,60479,99586,668,11,4,6.03,24,0.31,Bachelor's,Full-time,Single,No,No,Other,No
370FEJ0JLB,68,138070,79786,393,117,3,5.01,12,0.86,Bachelor's,Unemployed,Divorced,Yes,No,Education,Yes
ZDEHPQKF2F,18,116157,123628,832,88,3,13.73,48,0.73,Master's,Unemployed,Single,No,No,Business,Yes
RIQ93KZ9CN,49,47832,163538,407,27,4,7.96,36,0.82,PhD,Unemployed,Divorced,No,Yes,Home,Yes
3CHURCQSLN,42,120516,206894,594,109,1,4.99,48,0.65,Master's,Self-employed,Single,Yes,No,Business,Yes
G6D9SKV2VX,46,37518,36408,769,110,4,6.05,12,0.86,Bachelor's,Part-time,Divorced,Yes,Yes,Home,No
X00KOWVSI3,24,139722,32846,303,114,4,10.77,60,0.11,Bachelor's,Full-time,Divorced,No,No,Business,No
AJ4IJUNV7R,66,98761,223908,728,15,3,12.78,60,0.3,High School,Self-employed,Single,Yes,Yes,Home,No
SK3XZBE2P2,20,38253,224746,738,30,2,13.98,60,0.24,PhD,Unemployed,Single,Yes,No,Auto,No
DAB6BLGSR6,37,73211,230677,571,37,4,23.25,24,0.67,Master's,Full-time,Single,Yes,No,Home,No
KHQEJAJ0KY,37,62871,132041,682,36,4,17.86,48,0.39,Master's,Part-time,Married,No,No,Auto,No
5P8XPT81L4,47,125312,17267,640,33,3,11.47,48,0.36,Bachelor's,Full-time,Divorced,Yes,No,Business,Yes
0E4WJ1B79H,52,59038,28330,393,63,3,15.4,24,0.43,PhD,Part-time,Single,No,No,Other,No
BLDCA7CHCE,52,18785,61985,547,74,1,20.33,36,0.5,High School,Self-employed,Single,No,No,Home,No
JOYYTMGUHL,66,101925,128712,643,97,2,10.47,36,0.43,Bachelor's,Full-time,Divorced,No,Yes,Auto,Yes
BP1EPY0RHP,56,54352,197506,495,60,4,8.31,36,0.28,Master's,Full-time,Married,Yes,Yes,Business,No
2UN0ISUKLD,44,87523,144066,545,8,3,15.11,24,0.45,Bachelor's,Full-time,Single,Yes,Yes,Education,Yes
IDLX2BMQSD,43,43519,48103,666,35,2,24.34,60,0.33,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,Yes
4S98BIKOXJ,31,38700,77720,493,61,4,14.83,12,0.62,Master's,Unemployed,Married,No,Yes,Other,Yes
8FHIEYIH77,34,148020,80180,647,35,2,4.8,36,0.29,High School,Self-employed,Married,No,No,Business,Yes
9CYI2JXUUO,35,50841,96854,480,51,4,14.71,48,0.57,PhD,Part-time,Single,Yes,No,Other,No
3FJFFMC3QD,62,33485,168875,600,25,4,6.16,60,0.84,Bachelor's,Self-employed,Divorced,Yes,Yes,Home,No
6D0YBOUTWA,69,57813,215034,564,29,2,5.07,60,0.63,Bachelor's,Self-employed,Married,No,Yes,Auto,Yes
GHK97V68ON,46,39049,124267,309,36,1,2.19,24,0.53,Master's,Unemployed,Single,Yes,Yes,Home,No
4A5IN13PFX,37,142373,236494,559,27,3,21.54,48,0.27,High School,Self-employed,Divorced,No,Yes,Business,Yes
JVCABC1P3N,44,148774,138005,842,60,1,16.75,48,0.13,Bachelor's,Self-employed,Married,Yes,Yes,Auto,Yes
G66QSITIMK,35,117350,20517,377,51,1,18.66,60,0.34,Master's,Unemployed,Single,No,Yes,Education,Yes
574QGXVDIS,21,23487,172739,373,79,4,8.49,36,0.34,Bachelor's,Unemployed,Divorced,Yes,Yes,Auto,No
GMJ24NLUK4,18,82278,191219,670,44,2,15.8,36,0.46,High School,Part-time,Single,No,Yes,Business,Yes
7VRCAYJFFF,67,105167,84763,671,52,2,9.43,36,0.11,Bachelor's,Full-time,Divorced,No,Yes,Business,No
54IHJKOOGC,18,67296,55047,804,59,2,24.26,60,0.77,Bachelor's,Part-time,Married,No,Yes,Other,No
8ZJ48WASUG,43,92206,59766,654,12,1,2.49,12,0.76,PhD,Full-time,Married,No,Yes,Auto,Yes
FF7TG41U0U,62,69821,216530,734,104,3,9.99,48,0.86,Bachelor's,Unemployed,Single,Yes,Yes,Business,No
Z5A48M4OH7,37,136829,79613,744,48,3,11.19,36,0.57,PhD,Self-employed,Single,No,Yes,Home,No
00XSE6SOL1,69,89105,214711,815,95,2,17.4,12,0.18,High School,Full-time,Married,No,Yes,Business,No
